seed,n,method,kendall_tau_b_to_reference,top1_match,top3_set_match,n_adjacent_ties,mean_adjacent_score_gap
2,16,bayes,1,1,1,0,0.05058888889
2,16,pass_at_k_4capn,0.9636363636,1,1,0,0.04291208791
2,16,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07003769231
2,16,mg_pass_at_k_4capn,1,1,1,0,0.05752494505
2,16,elo,0.7454545455,1,0,0,40.03828657
2,16,bradley_terry_davidson,1,1,1,0,0.4034128376
2,16,rasch,1,1,1,0,0.2933472237
2,16,borda,0.9636363636,1,1,0,404.95
2,16,pagerank,1,1,1,0,0.004315524413
2,32,avg,1,1,1,0,0.0576375
2,32,bayes,1,1,1,0,0.05424705882
2,32,pass_at_k_4capn,0.9636363636,1,1,0,0.04452285317
2,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07057065628
2,32,mg_pass_at_k_4capn,1,1,1,0,0.05766470801
2,32,elo,0.4545454545,0,0,0,37.90005872
2,32,bradley_terry_davidson,1,1,1,0,0.405991394
2,32,rasch,1,1,1,0,0.2986629392
2,32,borda,1,1,1,0,435.3
2,32,pagerank,1,1,1,0,0.004379771051
3,1,avg,0.9636363636,1,1,0,0.0572
3,1,bayes,0.9636363636,1,1,0,0.01906666667
3,1,pass_at_k_4capn,0.9636363636,1,1,0,0.0572
3,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0572
3,1,mg_pass_at_k_4capn,NaN,0,0,10,0
3,1,elo,0.5272727273,1,0,0,40.0039289
3,1,bradley_terry_davidson,0.9636363636,1,1,0,0.3698602838
3,1,rasch,0.9636363636,1,1,0,0.2827168542
3,1,borda,0.9636363636,1,1,0,157.3
3,1,pagerank,0.9636363636,1,1,0,0.004359094374
3,2,avg,0.9636363636,1,1,0,0.0558
3,2,bayes,0.9636363636,1,1,0,0.0279
3,2,pass_at_k_4capn,1,1,1,0,0.0584
3,2,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0532
3,2,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0532
3,2,elo,0.5636363636,0,0,0,49.76337759
3,2,bradley_terry_davidson,0.9636363636,1,1,0,0.3743090163
3,2,rasch,0.9636363636,1,1,0,0.278916698
3,2,borda,0.9636363636,1,1,0,225.9
3,2,pagerank,0.9636363636,1,1,0,0.004236468473
3,4,avg,1,1,1,0,0.0553
3,4,bayes,1,1,1,0,0.03686666667
3,4,pass_at_k_4capn,1,1,1,0,0.0428
3,4,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.069
3,4,mg_pass_at_k_4capn,1,1,1,0,0.0545
3,4,elo,0.6,1,0,0,52.20411501
3,4,bradley_terry_davidson,1,1,1,0,0.3715072437
3,4,rasch,1,1,1,0,0.2801489473
3,4,borda,1,1,1,0,295
3,4,pagerank,1,1,1,0,0.004200385797
3,8,avg,1,1,1,0,0.056525
3,8,bayes,1,1,1,0,0.04522
3,8,pass_at_k_4capn,0.9636363636,1,1,0,0.04447142857
3,8,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.06937142857
3,8,mg_pass_at_k_4capn,1,1,1,0,0.05587142857
3,8,elo,0.7454545455,0,0,0,60.16971322
3,8,bradley_terry_davidson,1,1,1,0,0.381708909
3,8,rasch,1,1,1,0,0.2918020951
3,8,borda,1,1,1,0,358.2
3,8,pagerank,1,1,1,0,0.004303372923
3,16,avg,0.9636363636,1,1,0,0.0562625
3,16,bayes,0.9636363636,1,1,0,0.05001111111
3,16,pass_at_k_4capn,0.9636363636,1,1,0,0.04441087912
3,16,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.06886978022
3,16,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.05564016484
3,16,elo,0.6363636364,0,0,0,42.54001725
3,16,bradley_terry_davidson,0.9636363636,1,1,0,0.381475734
3,16,rasch,0.9636363636,1,1,0,0.2911511495
3,16,borda,0.9636363636,1,1,0,400.45
3,16,pagerank,0.9636363636,1,1,0,0.004275902723
3,32,avg,1,1,1,0,0.0565
3,32,bayes,1,1,1,0,0.05317647059
3,32,pass_at_k_4capn,0.9636363636,1,1,0,0.04429498331
3,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.06919140156
3,32,mg_pass_at_k_4capn,1,1,1,0,0.0562369188
3,32,elo,0.7090909091,0,1,0,38.08944281
3,32,bradley_terry_davidson,1,1,1,0,0.3931865315
3,32,rasch,1,1,1,0,0.2944199372
3,32,borda,0.9636363636,1,1,0,438.35
3,32,pagerank,1,1,1,0,0.00428808348
4,1,avg,0.9636363636,1,1,0,0.0586
4,1,bayes,0.9636363636,1,1,0,0.01953333333
4,1,pass_at_k_4capn,0.9636363636,1,1,0,0.0586
4,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0586
4,1,mg_pass_at_k_4capn,NaN,0,0,10,0
4,1,elo,0.7454545455,0,0,0,53.93052735
4,1,bradley_terry_davidson,0.9636363636,1,1,0,0.422209935
4,1,rasch,0.9636363636,1,1,0,0.2898189538
4,1,borda,0.9636363636,1,1,0,161.15
4,1,pagerank,0.9636363636,1,1,0,0.004457091203
4,2,avg,0.9636363636,1,1,0,0.0579
4,2,bayes,0.9636363636,1,1,0,0.02895
4,2,pass_at_k_4capn,0.9272727273,1,0,0,0.0582
4,2,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0576
4,2,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0576
4,2,elo,0.5272727273,0,0,0,38.51869888
4,2,bradley_terry_davidson,0.9636363636,1,1,0,0.4273884437
4,2,rasch,0.9636363636,1,1,0,0.2897335213
4,2,borda,0.9636363636,1,1,0,230.85
4,2,pagerank,0.9636363636,1,1,0,0.004410857949
4,4,avg,0.9636363636,1,1,0,0.0569
4,4,bayes,0.9636363636,1,1,0,0.03793333333
4,4,pass_at_k_4capn,0.9541685964,1,0,1,0.0458
4,4,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.071
4,4,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0565
4,4,elo,0.6363636364,1,0,0,65.95268197
4,4,bradley_terry_davidson,0.9636363636,1,1,0,0.3972708793
4,4,rasch,0.9636363636,1,1,0,0.2866413584
4,4,borda,0.9636363636,1,1,0,292.4
4,4,pagerank,0.9636363636,1,1,0,0.004342659364
4,8,avg,0.9636363636,1,1,0,0.056425
4,8,bayes,0.9636363636,1,1,0,0.04514
4,8,pass_at_k_4capn,0.9636363636,1,1,0,0.04395142857
4,8,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.06948285714
4,8,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.05600857143
4,8,elo,0.4909090909,0,0,0,50.8475785
4,8,bradley_terry_davidson,0.9636363636,1,1,0,0.3881493521
4,8,rasch,0.9636363636,1,1,0,0.2868431672
4,8,borda,0.9636363636,1,1,0,356.2
4,8,pagerank,0.9636363636,1,1,0,0.004293420945
4,16,avg,0.9636363636,1,1,0,0.056925
4,16,bayes,0.9636363636,1,1,0,0.0506
4,16,pass_at_k_4capn,0.9636363636,1,1,0,0.04423384615
4,16,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.06967296703
4,16,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0567267033
4,16,elo,0.4909090909,0,0,0,55.33948354
4,16,bradley_terry_davidson,0.9636363636,1,1,0,0.3919011161
4,16,rasch,0.9636363636,1,1,0,0.291847706
4,16,borda,0.9636363636,1,1,0,399.15
4,16,pagerank,0.9636363636,1,1,0,0.004333511875
4,32,avg,1,1,1,0,0.05724375
4,32,bayes,1,1,1,0,0.05387647059
4,32,pass_at_k_4capn,0.9636363636,1,1,0,0.04448880979
4,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07016562291
4,32,mg_pass_at_k_4capn,1,1,1,0,0.0569186485
4,32,elo,0.6363636364,1,0,0,48.45052221
4,32,bradley_terry_davidson,1,1,1,0,0.4019187361
4,32,rasch,1,1,1,0,0.2950266718
4,32,borda,0.9636363636,1,1,0,432.7
4,32,pagerank,1,1,1,0,0.004353058377
5,1,avg,0.9636363636,1,1,0,0.0576
5,1,bayes,0.9636363636,1,1,0,0.0192
5,1,pass_at_k_4capn,0.9636363636,1,1,0,0.0576
5,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0576
5,1,mg_pass_at_k_4capn,NaN,0,0,10,0
5,1,elo,0.3090909091,0,0,0,33.75141374
5,1,bradley_terry_davidson,0.9636363636,1,1,0,0.4151058506
5,1,rasch,0.9272727273,1,1,0,0.2840732573
5,1,borda,0.9636363636,1,1,0,158.4
5,1,pagerank,0.9636363636,1,1,0,0.00433870177
5,2,avg,0.9636363636,1,1,0,0.0551
5,2,bayes,0.9636363636,1,1,0,0.02755
5,2,pass_at_k_4capn,1,1,1,0,0.0554
5,2,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0548
5,2,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0548
5,2,elo,0.4909090909,1,0,0,17.38872473
5,2,bradley_terry_davidson,0.9636363636,1,1,0,0.3762660461
5,2,rasch,0.9636363636,1,1,0,0.272913857
5,2,borda,0.9636363636,1,1,0,223
5,2,pagerank,0.9636363636,1,1,0,0.004177283293
5,4,avg,0.9636363636,1,1,0,0.0555
5,4,bayes,0.9636363636,1,1,0,0.037
5,4,pass_at_k_4capn,0.9272727273,1,0,0,0.0422
5,4,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.068
5,4,mg_pass_at_k_4capn,0.9272727273,1,1,0,0.056
5,4,elo,0.6363636364,0,0,0,46.86501649
5,4,bradley_terry_davidson,0.9636363636,1,1,0,0.3887008132
5,4,rasch,0.9636363636,1,1,0,0.2807057061
5,4,borda,0.9636363636,1,1,0,292.8
5,4,pagerank,0.9636363636,1,1,0,0.004198914861
5,8,avg,1,1,1,0,0.0559
5,8,bayes,1,1,1,0,0.04472
5,8,pass_at_k_4capn,1,1,1,0,0.04250857143
5,8,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.06868285714
5,8,mg_pass_at_k_4capn,1,1,1,0,0.05638
5,8,elo,0.6,0,1,0,26.57731357
5,8,bradley_terry_davidson,1,1,1,0,0.3965865233
5,8,rasch,1,1,1,0,0.2872680445
5,8,borda,1,1,1,0,356.7
5,8,pagerank,1,1,1,0,0.004230538855
5,16,avg,1,1,1,0,0.0561625
5,16,bayes,1,1,1,0,0.04992222222
5,16,pass_at_k_4capn,0.9636363636,1,1,0,0.04217604396
5,16,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.06944098901
5,16,mg_pass_at_k_4capn,1,1,1,0,0.05701175824
5,16,elo,0.7090909091,0,0,0,26.11561564
5,16,bradley_terry_davidson,1,1,1,0,0.4022007297
5,16,rasch,1,1,1,0,0.290571221
5,16,borda,0.9636363636,1,1,0,401.15
5,16,pagerank,1,1,1,0,0.004246743699
5,32,avg,1,1,1,0,0.05689375
5,32,bayes,1,1,1,0,0.05354705882
5,32,pass_at_k_4capn,1,1,1,0,0.04289574527
5,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07018368743
5,32,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.05786622914
5,32,elo,0.7090909091,0,0,0,33.45265361
5,32,bradley_terry_davidson,1,1,1,0,0.411380374
5,32,rasch,1,1,1,0,0.2964527508
5,32,borda,1,1,1,0,434.3
5,32,pagerank,1,1,1,0,0.00431153863
6,1,avg,0.9636363636,1,0,0,0.0556
6,1,bayes,0.9636363636,1,0,0,0.01853333333
6,1,pass_at_k_4capn,0.9636363636,1,0,0,0.0556
6,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,0,0,0.0556
6,1,mg_pass_at_k_4capn,NaN,0,0,10,0
6,1,elo,0.6,0,0,0,70.62887097
6,1,bradley_terry_davidson,0.9636363636,1,0,0,0.3537614681
6,1,rasch,0.9272727273,1,0,0,0.270637129
6,1,borda,0.9636363636,1,0,0,152.9
6,1,pagerank,0.9636363636,1,0,0,0.004249681929
6,2,avg,1,1,1,0,0.0564
6,2,bayes,1,1,1,0,0.0282
6,2,pass_at_k_4capn,1,1,1,0,0.0576
6,2,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0552
6,2,mg_pass_at_k_4capn,1,1,1,0,0.0552
6,2,elo,0.6363636364,1,0,0,58.11360712
6,2,bradley_terry_davidson,1,1,1,0,0.3639606984
6,2,rasch,1,1,1,0,0.279688427
6,2,borda,1,1,1,0,223.9
6,2,pagerank,1,1,1,0,0.004300059639
6,4,avg,1,1,1,0,0.0555
6,4,bayes,1,1,1,0,0.037
6,4,pass_at_k_4capn,0.9636363636,1,0,0,0.0428
6,4,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0702
6,4,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0558
6,4,elo,0.8181818182,1,0,0,77.57709745
6,4,bradley_terry_davidson,1,1,1,0,0.3762029631
6,4,rasch,1,1,1,0,0.2780835806
6,4,borda,1,1,1,0,293.05
6,4,pagerank,1,1,1,0,0.004208934327
6,8,avg,1,1,1,0,0.0574
6,8,bayes,1,1,1,0,0.04592
6,8,pass_at_k_4capn,1,1,1,0,0.04501428571
6,8,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.06987142857
6,8,mg_pass_at_k_4capn,1,1,1,0,0.05688571429
6,8,elo,0.8181818182,1,1,0,56.61946453
6,8,bradley_terry_davidson,1,1,1,0,0.40459022
6,8,rasch,1,1,1,0,0.2934669685
6,8,borda,1,1,1,0,359.45
6,8,pagerank,1,1,1,0,0.004360994324
6,16,avg,1,1,1,0,0.057025
6,16,bayes,1,1,1,0,0.05068888889
6,16,pass_at_k_4capn,1,1,1,0,0.04427252747
6,16,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07013758242
6,16,mg_pass_at_k_4capn,1,1,1,0,0.05669752747
6,16,elo,0.7090909091,0,1,0,56.22455103
6,16,bradley_terry_davidson,1,1,1,0,0.3975064965
6,16,rasch,1,1,1,0,0.2928341981
6,16,borda,1,1,1,0,401.15
6,16,pagerank,1,1,1,0,0.004337549157
6,32,avg,1,1,1,0,0.0571625
6,32,bayes,1,1,1,0,0.0538
6,32,pass_at_k_4capn,1,1,1,0,0.04419523359
6,32,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07040973304
6,32,mg_pass_at_k_4capn,1,1,1,0,0.0569034594
6,32,elo,0.6727272727,0,0,0,58.88205908
6,32,bradley_terry_davidson,1,1,1,0,0.4028455831
6,32,rasch,1,1,1,0,0.2949924678
6,32,borda,1,1,1,0,433.6
6,32,pagerank,1,1,1,0,0.004340183182
7,1,avg,1,1,1,0,0.0574
7,1,bayes,1,1,1,0,0.01913333333
7,1,pass_at_k_4capn,1,1,1,0,0.0574
7,1,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0574
7,1,mg_pass_at_k_4capn,NaN,0,0,10,0
7,1,elo,0.6363636364,0,0,0,55.06983567
7,1,bradley_terry_davidson,1,1,1,0,0.4281270651
7,1,rasch,1,1,1,0,0.2854545078
7,1,borda,1,1,1,0,157.85
7,1,pagerank,1,1,1,0,0.004347044046
7,2,avg,1,1,1,0,0.0539
7,2,bayes,1,1,1,0,0.02695
7,2,pass_at_k_4capn,1,1,1,0,0.0528
7,2,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.055
7,2,mg_pass_at_k_4capn,1,1,1,0,0.055
7,2,elo,0.7454545455,1,0,0,50.99463551
7,2,bradley_terry_davidson,1,1,1,0,0.3817564452
7,2,rasch,1,1,1,0,0.2682220494
7,2,borda,1,1,1,0,218.35
7,2,pagerank,1,1,1,0,0.004067859392
7,4,avg,0.9636363636,1,1,0,0.05475
7,4,bayes,0.9636363636,1,1,0,0.0365
7,4,pass_at_k_4capn,0.9636363636,1,1,0,0.0386
7,4,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0694
7,4,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0572
7,4,elo,0.6,1,1,0,42.79229379
7,4,bradley_terry_davidson,0.9636363636,1,1,0,0.3738222622
7,4,rasch,0.9636363636,1,1,0,0.277259624
7,4,borda,0.9636363636,1,1,0,293.55
7,4,pagerank,0.9636363636,1,1,0,0.004144754186
7,8,avg,1,1,1,0,0.055075
7,8,bayes,1,1,1,0,0.04406
7,8,pass_at_k_4capn,1,1,1,0,0.04122285714
7,8,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.06855428571
7,8,mg_pass_at_k_4capn,1,1,1,0,0.05646571429
7,8,elo,0.5272727273,1,0,0,58.07225205
7,8,bradley_terry_davidson,1,1,1,0,0.3834894481
7,8,rasch,1,1,1,0,0.2843895215
7,8,borda,1,1,1,0,351.45
7,8,pagerank,1,1,1,0,0.004169319852
7,16,avg,1,1,1,0,0.0547375
7,16,bayes,1,1,1,0,0.04865555556
7,16,pass_at_k_4capn,1,1,1,0,0.04023692308
7,16,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0683221978
7,16,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.05622978022
7,16,elo,0.3818181818,1,0,0,41.5290302
7,16,bradley_terry_davidson,1,1,1,0,0.3755167284
7,16,rasch,1,1,1,0,0.2845668846
7,16,borda,1,1,1,0,393.1
7,16,pagerank,1,1,1,0,0.004148368038
7,32,avg,0.9636363636,1,1,0,0.05613125
7,32,bayes,0.9636363636,1,1,0,0.05282941176
7,32,pass_at_k_4capn,1,1,1,0,0.04124276974
7,32,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.06997121246
7,32,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.05775470523
7,32,elo,0.4909090909,0,0,0,55.64788987
7,32,bradley_terry_davidson,0.9636363636,1,1,0,0.398033842
7,32,rasch,0.9636363636,1,1,0,0.294567768
7,32,borda,0.9636363636,1,1,0,432.25
7,32,pagerank,0.9636363636,1,1,0,0.004257622795
8,1,avg,0.9636363636,1,1,0,0.059
8,1,bayes,0.9636363636,1,1,0,0.01966666667
8,1,pass_at_k_4capn,0.9636363636,1,1,0,0.059
8,1,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.059
8,1,mg_pass_at_k_4capn,NaN,0,0,10,0
8,1,elo,0.7090909091,1,1,0,50.48677043
8,1,bradley_terry_davidson,0.9636363636,1,1,0,0.4422700789
8,1,rasch,0.9636363636,1,1,0,0.295700604
8,1,borda,0.9636363636,1,1,0,162.25
8,1,pagerank,0.9636363636,1,1,0,0.004456366201
8,2,avg,0.9636363636,1,1,0,0.0585
8,2,bayes,0.9636363636,1,1,0,0.02925
