replicate,L,M,N,method,wall_time_s,memory_bytes,success
2,4,1000,4,pagerank,0.000116954,263808,true
1,4,1000,4,alpharank,0.0001847,363872,true
2,4,1000,4,alpharank,0.000182475,360800,true
1,4,1000,4,plackett_luce,0.000244618,271776,true
2,4,1000,4,plackett_luce,0.000230947,272352,true
1,4,1000,4,kemeny_young,0.066867448,1031800,true
2,4,1000,4,kemeny_young,0.073196272,1031800,true
1,8,100,1,avg,0.000193356,199024,true
2,8,100,1,avg,8.25e-05,199024,true
1,8,100,1,bayes,6.4111e-05,151792,true
2,8,100,1,bayes,6.7596e-05,151792,true
1,8,100,1,elo,0.000120916,15216,true
2,8,100,1,elo,0.000121742,15216,true
1,8,100,1,bradley_terry,0.00035487,169072,true
2,8,100,1,bradley_terry,0.000509267,270320,true
1,8,100,1,rasch,0.04545446,72750008,true
2,8,100,1,rasch,0.04679332,72750008,true
1,8,100,1,borda,0.000185417,72952,true
2,8,100,1,borda,5.8042e-05,72952,true
1,8,100,1,pagerank,6.9657e-05,24608,true
2,8,100,1,pagerank,6.1357e-05,24608,true
1,8,100,1,alpharank,0.000221049,264480,true
2,8,100,1,alpharank,0.000221513,232992,true
1,8,100,1,plackett_luce,7.7107e-05,39232,true
2,8,100,1,plackett_luce,7.6818e-05,39232,true
1,8,100,1,kemeny_young,0.405677842,11564648,true
2,8,100,1,kemeny_young,0.4398567,11564648,true
1,8,100,4,avg,0.001127352,387440,true
2,8,100,4,avg,0.00014733,387440,true
1,8,100,4,bayes,9.6106e-05,227696,true
2,8,100,4,bayes,8.2677e-05,227696,true
1,8,100,4,elo,0.000340901,53616,true
2,8,100,4,elo,0.000344794,53616,true
1,8,100,4,bradley_terry,0.000440603,259184,true
2,8,100,4,bradley_terry,0.001187042,829936,true
1,8,100,4,rasch,0.041925603,73531160,true
2,8,100,4,rasch,0.04147386,73489896,true
1,8,100,4,borda,0.000186444,111352,true
2,8,100,4,borda,6.8794e-05,111352,true
1,8,100,4,pagerank,6.2581e-05,63008,true
2,8,100,4,pagerank,6.0787e-05,63008,true
1,8,100,4,alpharank,0.000194704,285728,true
2,8,100,4,alpharank,0.000194532,287776,true
1,8,100,4,plackett_luce,0.000115498,73408,true
2,8,100,4,plackett_luce,0.000118841,76480,true
1,8,100,4,kemeny_young,0.394760246,11603048,true
2,8,100,4,kemeny_young,0.35645869,11603048,true
1,8,500,1,avg,0.001023759,888112,true
2,8,500,1,avg,0.000239271,888112,true
1,8,500,1,bayes,0.00020506,688432,true
2,8,500,1,bayes,0.000179556,688432,true
1,8,500,1,elo,0.000977514,66416,true
2,8,500,1,elo,0.000955727,66416,true
1,8,500,1,bradley_terry,0.000629833,358768,true
2,8,500,1,bradley_terry,0.001026814,694640,true
1,8,500,1,rasch,1.083136917,1647268080,true
2,8,500,1,rasch,1.190666974,1647268080,true
1,8,500,1,borda,0.000224312,354552,true
2,8,500,1,borda,0.000176729,354552,true
1,8,500,1,pagerank,0.00022979,75808,true
2,8,500,1,pagerank,0.000209737,75808,true
1,8,500,1,alpharank,0.000366128,289824,true
2,8,500,1,alpharank,0.000438343,310816,true
1,8,500,1,plackett_luce,0.00016166,90048,true
2,8,500,1,plackett_luce,0.000159749,85440,true
1,8,500,1,kemeny_young,0.386137215,11641448,true
2,8,500,1,kemeny_young,0.340991667,11641448,true
1,8,500,4,avg,0.001299057,1846064,true
2,8,500,4,avg,0.00046965,1846064,true
1,8,500,4,bayes,0.000295543,1071920,true
2,8,500,4,bayes,0.000294718,1071920,true
1,8,500,4,elo,0.001632088,258416,true
2,8,500,4,elo,0.001582668,258416,true
1,8,500,4,bradley_terry,0.00243703,1803632,true
2,8,500,4,bradley_terry,0.001851815,1300848,true
1,8,500,4,rasch,1.364234249,1650680560,true
2,8,500,4,rasch,1.339949982,1650680560,true
1,8,500,4,borda,0.000517567,546552,true
2,8,500,4,borda,0.000446918,546552,true
1,8,500,4,pagerank,0.000191466,267808,true
2,8,500,4,pagerank,0.000178708,267808,true
1,8,500,4,alpharank,0.000316915,495392,true
2,8,500,4,alpharank,0.000311626,495648,true
1,8,500,4,plackett_luce,0.000502907,280512,true
2,8,500,4,plackett_luce,0.000489651,281280,true
1,8,500,4,kemeny_young,0.352987553,11833448,true
2,8,500,4,kemeny_young,0.332667435,11833448,true
1,8,1000,1,avg,0.000701457,1748784,true
2,8,1000,1,avg,0.000401499,1748784,true
1,8,1000,1,bayes,0.000339416,1358640,true
2,8,1000,1,bayes,0.000297345,1358640,true
1,8,1000,1,elo,0.000857747,130416,true
2,8,1000,1,elo,0.000832831,130416,true
1,8,1000,1,bradley_terry,0.001721579,1225200,true
2,8,1000,1,bradley_terry,0.000955531,602224,true
1,8,1000,1,rasch,4.52996955,6496934208,true
2,8,1000,1,rasch,5.357302764,6496934208,true
1,8,1000,1,borda,0.000530503,706552,true
2,8,1000,1,borda,0.000495162,706552,true
1,8,1000,1,pagerank,0.000625305,139808,true
2,8,1000,1,pagerank,0.000383423,139808,true
1,8,1000,1,alpharank,0.000817515,365856,true
2,8,1000,1,alpharank,0.000825107,363552,true
1,8,1000,1,plackett_luce,0.000425869,153280,true
2,8,1000,1,plackett_luce,0.000420513,155200,true
1,8,1000,1,kemeny_young,0.431588675,11737448,true
2,8,1000,1,kemeny_young,0.335270974,11737448,true
1,8,1000,4,avg,0.001605066,3668784,true
2,8,1000,4,avg,0.000835564,3668784,true
1,8,1000,4,bayes,0.000497732,2126640,true
2,8,1000,4,bayes,0.000463299,2126640,true
1,8,1000,4,elo,0.003255288,514416,true
2,8,1000,4,elo,0.003172302,514416,true
1,8,1000,4,bradley_terry,0.002984135,2130416,true
2,8,1000,4,bradley_terry,0.002894128,2078704,true
1,8,1000,4,rasch,3.970114844,6503336448,true
2,8,1000,4,rasch,4.409789569,6503336448,true
1,8,1000,4,borda,0.000422769,1090552,true
2,8,1000,4,borda,0.000405732,1090552,true
1,8,1000,4,pagerank,0.000293038,523808,true
2,8,1000,4,pagerank,0.000297489,523808,true
1,8,1000,4,alpharank,0.000440688,752672,true
2,8,1000,4,alpharank,0.000428026,752416,true
1,8,1000,4,plackett_luce,0.000910348,536512,true
2,8,1000,4,plackett_luce,0.000883563,538432,true
1,8,1000,4,kemeny_young,0.333291486,12121448,true
2,8,1000,4,kemeny_young,0.341404829,12121448,true
1,16,100,1,avg,0.000985253,396720,true
2,16,100,1,avg,0.000175514,396720,true
1,16,100,1,bayes,0.000107285,302256,true
2,16,100,1,bayes,0.000136656,302256,true
1,16,100,1,elo,0.000555237,29104,true
2,16,100,1,elo,0.000820447,29104,true
1,16,100,1,bradley_terry,0.004049983,1216504,true
2,16,100,1,bradley_terry,0.006516273,2039416,true
1,16,100,1,rasch,0.097761301,150853688,true
2,16,100,1,rasch,0.107617614,151013240,true
1,16,100,1,borda,0.000166998,118840,true
2,16,100,1,borda,0.000113135,118840,true
1,16,100,1,pagerank,0.000192227,55984,true
2,16,100,1,pagerank,0.000193961,55984,true
1,16,100,1,alpharank,0.000415632,396720,true
2,16,100,1,alpharank,0.000507809,521520,true
1,16,100,1,plackett_luce,0.000200842,66448,true
2,16,100,1,plackett_luce,0.000190045,63568,true
1,16,100,4,avg,0.000267561,773552,true
2,16,100,4,avg,0.000253317,773360,true
1,16,100,4,bayes,0.00021174,454064,true
2,16,100,4,bayes,0.000159764,454064,true
1,16,100,4,elo,0.001669353,105904,true
2,16,100,4,elo,0.00162033,105904,true
1,16,100,4,bradley_terry,0.012387138,3667576,true
2,16,100,4,bradley_terry,0.011849614,3611320,true
1,16,100,4,rasch,0.093697162,152286760,true
2,16,100,4,rasch,0.099775725,152286760,true
1,16,100,4,borda,0.000194275,195640,true
2,16,100,4,borda,0.000148441,195640,true
1,16,100,4,pagerank,0.000164852,132784,true
2,16,100,4,pagerank,0.00017062,132784,true
1,16,100,4,alpharank,0.000418971,547632,true
2,16,100,4,alpharank,0.000398324,514992,true
1,16,100,4,plackett_luce,0.000438402,142096,true
2,16,100,4,plackett_luce,0.000424899,142096,true
1,16,500,1,avg,0.000416219,1774896,true
2,16,500,1,avg,0.000427982,1774896,true
1,16,500,1,bayes,0.000371017,1375536,true
2,16,500,1,bayes,0.000313753,1375344,true
1,16,500,1,elo,0.001889562,131504,true
2,16,500,1,elo,0.001898474,131504,true
1,16,500,1,bradley_terry,0.011157002,3630776,true
2,16,500,1,bradley_terry,0.011387281,3660728,true
1,16,500,1,rasch,1.958265221,3269437808,true
2,16,500,1,rasch,1.948960739,3269437808,true
1,16,500,1,borda,0.000358671,579640,true
2,16,500,1,borda,0.00034505,579640,true
1,16,500,1,pagerank,0.000750945,158384,true
2,16,500,1,pagerank,0.000747202,158384,true
1,16,500,1,alpharank,0.001003277,514480,true
2,16,500,1,alpharank,0.0009794,578800,true
1,16,500,1,plackett_luce,0.000555169,165392,true
2,16,500,1,plackett_luce,0.000545732,164816,true
1,16,500,4,avg,0.000819555,3690608,true
2,16,500,4,avg,0.000802526,3690608,true
1,16,500,4,bayes,0.000531583,2142320,true
2,16,500,4,bayes,0.00053119,2142320,true
1,16,500,4,elo,0.007763313,515504,true
2,16,500,4,elo,0.007472068,515504,true
1,16,500,4,bradley_terry,0.013590032,4135736,true
2,16,500,4,bradley_terry,0.014190178,4157432,true
1,16,500,4,rasch,2.140421387,3276115296,true
2,16,500,4,rasch,2.395489806,3276115184,true
1,16,500,4,borda,0.000803191,963448,true
2,16,500,4,borda,0.000759889,963448,true
1,16,500,4,pagerank,0.001220809,542192,true
2,16,500,4,pagerank,0.001212808,542192,true
1,16,500,4,alpharank,0.001786316,948208,true
2,16,500,4,alpharank,0.000973099,978352,true
1,16,500,4,plackett_luce,0.002107092,550928,true
2,16,500,4,plackett_luce,0.002012802,556112,true
1,16,1000,1,avg,0.000703617,3496240,true
2,16,1000,1,avg,0.000742245,3496240,true
1,16,1000,1,bayes,0.000613176,2715952,true
2,16,1000,1,bayes,0.000595672,2715952,true
1,16,1000,1,elo,0.003917201,259504,true
2,16,1000,1,elo,0.003762995,259504,true
1,16,1000,1,bradley_terry,0.012508679,3833464,true
2,16,1000,1,bradley_terry,0.012053696,3866872,true
1,16,1000,1,rasch,8.497934348,1.28165367e+10,true
2,16,1000,1,rasch,9.411492839,1.281653678e+10,true
1,16,1000,1,borda,0.000614021,1155640,true
2,16,1000,1,borda,0.000573359,1155448,true
1,16,1000,1,pagerank,0.001458676,286192,true
2,16,1000,1,pagerank,0.00147785,286384,true
1,16,1000,1,alpharank,0.001745111,698544,true
2,16,1000,1,alpharank,0.001756697,706224,true
1,16,1000,1,plackett_luce,0.001030823,295696,true
2,16,1000,1,plackett_luce,0.001121505,295696,true
1,16,1000,4,avg,0.001581799,7336048,true
2,16,1000,4,avg,0.001445366,7336048,true
1,16,1000,4,bayes,0.00089574,4251760,true
2,16,1000,4,bayes,0.000876349,4251760,true
1,16,1000,4,elo,0.016048105,1027504,true
2,16,1000,4,elo,0.015346666,1027504,true
1,16,1000,4,bradley_terry,0.016007311,4712824,true
2,16,1000,4,bradley_terry,0.016237604,4702648,true
1,16,1000,4,rasch,8.713355547,1.282908389e+10,true
2,16,1000,4,rasch,10.30356049,1.282908389e+10,true
1,16,1000,4,borda,0.000987079,1923448,true
2,16,1000,4,borda,0.000960465,1923448,true
1,16,1000,4,pagerank,0.001167785,1054192,true
2,16,1000,4,pagerank,0.001216055,1054192,true
1,16,1000,4,alpharank,0.001548417,1474032,true
2,16,1000,4,alpharank,0.00256146,1448304,true
1,16,1000,4,plackett_luce,0.004049867,1065808,true
2,16,1000,4,plackett_luce,0.00407631,1063504,true
